"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C619","0805_REFL","3250.008mil","2064.638mil","3250mil","2064.646mil","3250.008mil","2102.638mil","T","270.00","100NF/50V"
"C610","0805_REFL","2730.008mil","2094.654mil","2730mil","2094.646mil","2692.008mil","2094.654mil","T","360.00","10NF/50V"
"C211","0805_REFL","2710.008mil","1474.654mil","2710mil","1474.646mil","2672.008mil","1474.654mil","T","360.00","10NF/50V"
"C210","0805_REFL","1820.008mil","1964.638mil","1820mil","1964.646mil","1820.008mil","2002.638mil","T","270.00","10NF/50V"
"C209","0805_REFL","1530.008mil","1640.008mil","1530mil","1640mil","1492.008mil","1640.008mil","T","360.00","10NF/50V"
"C206","0805_REFL","2479.992mil","1344.654mil","2480mil","1344.646mil","2479.992mil","1306.654mil","T","90.00","100NF/50V"
"C205","0805_REFL","1950.008mil","1814.654mil","1950mil","1814.646mil","1912.008mil","1814.654mil","T","360.00","100NF/50V"
"C204","0805_REFL","3659.992mil","2214.654mil","3660mil","2214.646mil","3659.992mil","2176.654mil","T","90.00","100NF/50V"
"C203","0805_REFL","1690.008mil","1814.654mil","1690mil","1814.646mil","1652.008mil","1814.654mil","T","360.00","100NF/50V"
"F115","NFM21C","1179.992mil","3506.874mil","1180mil","3506.85mil","1179.992mil","3465.536mil","T","90.00","*"
"R252","0805_REFL","688.968mil","1712.59mil","688.976mil","1712.599mil","726.968mil","1712.59mil","T","180.00","0R00 1%"
"R254","0805_REFL","2480.308mil","1013.788mil","2480.315mil","1013.78mil","2480.308mil","975.788mil","T","90.00","0R00 1%"
"XP200","BIGPAD","1670mil","196.85mil","1670mil","196.85mil","1670mil","196.85mil","T","0.00","BAT_UB+"
"C116","0805_REFL","970.008mil","1016.858mil","970mil","1016.85mil","932.008mil","1016.858mil","T","360.00","100NF/50V"
"C117","0805_REFL","940.008mil","586.858mil","940mil","586.85mil","902.008mil","586.858mil","T","360.00","100NF/50V"
"C118","0805_REFL","1380.008mil","196.842mil","1380mil","196.85mil","1380.008mil","234.842mil","T","270.00","100NF/50V"
"C215","0805_REFL","489.992mil","3620.009mil","490mil","3620mil","489.992mil","3582.009mil","T","90.00","100NF/50V"
"D100","1206-D_REFL","740.008mil","586.858mil","740mil","586.85mil","681.508mil","586.858mil","T","360.00","LL4148"
"DZ105","1206-D_REFL","1250.008mil","216.842mil","1250mil","216.85mil","1250.008mil","275.342mil","T","270.00","ZMM5.1"
"DZ202","1206-D","2279.504mil","1399.503mil","2280mil","1400mil","2212.004mil","1399.503mil","T","360.00","ZMM4.7"
"F125","NFM21C","1239.992mil","3926.874mil","1240mil","3926.85mil","1239.992mil","3885.536mil","T","90.00","*"
"F126","NFM21C","1089.992mil","3506.874mil","1090mil","3506.85mil","1089.992mil","3465.536mil","T","90.00","*"
"L200","L-WEZB","470mil","3872.52mil","470mil","3976.85mil","470mil","3976.85mil","T","270.00","100UH/0.5AWE"
"MP100","LPT50X50","1135.008mil","2105.007mil","1135mil","2105mil","1135.008mil","2105.007mil","T","0.00","MP50"
"R117","0805_REFL","1470.008mil","196.842mil","1470mil","196.85mil","1470.008mil","234.842mil","T","270.00","680R 1%"
"R118","0805_REFL","580.008mil","626.842mil","580mil","626.85mil","580.008mil","664.842mil","T","270.00","2K2 1%"
"R119","0805_REFL","490.008mil","626.842mil","490mil","626.85mil","490.008mil","664.842mil","T","270.00","3K3 1%"
"RL100","REL-DIL51","770mil","316.85mil","1070mil","466.85mil","1070mil","466.85mil","T","180.00","REL-DIL05-1C90-51D"
"T100","SOT-23A","359.734mil","626.866mil","360mil","626.85mil","319.734mil","627.366mil","T","90.00","BC846"
"U203","OPTO1","1160.008mil","976.842mil","1160mil","976.85mil","1210.008mil","1114.342mil","T","270.00","PC357NT"
"X202","KK6410-10A","3990mil","3096.85mil","3990mil","3546.85mil","3990mil","3546.85mil","T","270.00","KK6410-10A"
"X203","KK6410-10A","3990mil","1206.85mil","3990mil","1656.85mil","3990mil","1656.85mil","T","270.00","KK6410-10A"
"XIA102","KK6410-03A","720mil","2356.85mil","720mil","2456.85mil","720mil","2456.85mil","T","270.00","KK-3POL"
"XIA108","KK6410-03A","290mil","3350.001mil","290mil","3450mil","290mil","3450.001mil","T","270.00","KK-3POL"
"X108","IDC6","1180mil","2286.85mil","1130mil","2386.85mil","1130mil","2386.85mil","T","270.00","JUM3X2"
"R228","0805_REFL","1519.992mil","2786.857mil","1520mil","2786.85mil","1519.992mil","2748.857mil","T","90.00","100R"
"C200","0805_REFL","1759.992mil","2476.843mil","1760mil","2476.85mil","1759.992mil","2514.843mil","B","270.00","100NF/50V"
"E201","B","1929.992mil","2486.843mil","1930mil","2486.85mil","1929.992mil","2549.843mil","B","270.00","4.7UF/10V"
"X103","DB25/FSS","1673.229mil","3740.158mil","1673.228mil","3740.157mil","1019.26mil","3795.158mil","B","360.00","DB25/FSS"

